Date,HSBA.L,ZION,SPY
2022-09-02,578.9459153924561,52.62485122680664,385.937744140625
2022-09-05,581.2142343749999,52.62485122680664,385.937744140625
2022-09-06,577.7072427795409,52.26152420043945,384.4815368652344
2022-09-07,567.1032061505127,53.87736892700195,391.3887023925781
2022-09-08,568.0409112579346,55.70355224609375,393.94696044921875
2022-09-09,571.773586472168,56.09556198120117,400.0670166015625
2022-09-12,588.3581025421142,56.04775619506836,404.3667907714844
2022-09-13,572.0646419726563,54.785682678222656,386.7839050292969
2022-09-14,562.8086666870116,55.41672134399414,388.25982666015625
2022-09-15,570.788670791626,56.38240432739258,383.8517761230469
2022-09-16,568.3762466320801,55.168128967285156,380.9234313964844
2022-09-19,569.0880422241211,55.81829071044922,383.87744140625
2022-09-20,571.1726186834717,55.168128967285156,379.4710998535156
2022-09-21,556.14410440979,54.59445571899414,372.8516540527344
2022-09-22,544.7157953466797,53.30369567871094,369.71978759765625
2022-09-23,519.9566193365479,52.12766647338867,363.52520751953125
2022-09-26,501.093947543335,51.18110656738281,359.9289245605469
2022-09-27,500.01962721313475,50.44489288330078,359.0101623535156
2022-09-28,494.44684095245367,50.932518005371094,366.07415771484375
2022-09-29,488.1041231430054,49.507896423339844,358.42724609375
2022-09-30,490.1525266113282,48.62826919555664,352.88470458984375
2022-10-03,490.7984585888672,49.919029235839844,362.2012939453125
2022-10-04,519.6200634997558,52.12766647338867,373.4246826171875
2022-10-05,502.6946923278809,51.171546936035156,372.5552673339844
2022-10-06,494.59174887542724,50.11025619506836,368.7120666503906
2022-10-07,486.8224685055542,48.159767150878906,358.42724609375
2022-10-10,480.848079362793,47.75819778442383,355.6905212402344
2022-10-11,468.76404134033197,47.02198791503906,353.43798828125
2022-10-12,468.405939458313,46.314453125,352.2721252441406
2022-10-13,489.04671896362305,48.350990295410156,361.5690002441406
2022-10-14,482.01300983276366,47.93986129760742,353.3293151855469
2022-10-17,503.1983415344239,49.603511810302734,362.4088134765625
2022-10-18,495.64012241363525,49.699119567871094,366.66693115234375
2022-10-19,499.70172074218755,47.06023406982422,364.068603515625
2022-10-20,499.2976607910156,45.06194305419922,361.0157470703125
2022-10-21,507.30856769897457,45.72166061401367,369.7889709472656
2022-10-24,503.62546761932373,47.59565734863281,374.31390380859375
2022-10-25,477.169252208252,49.24974060058594,380.2911071777344
2022-10-26,484.95471312499996,48.188453674316406,377.4259948730469
2022-10-27,489.2987808380127,48.16933059692383,375.4105224609375
2022-10-28,482.52765728759766,49.2784309387207,384.341796875
2022-10-31,482.0767626269531,49.6608772277832,381.5655822753906
2022-11-01,494.9470455328369,49.34535598754883,379.8959045410156
2022-11-02,488.90210972351076,47.318382263183594,370.36199951171875
2022-11-03,485.69511547119146,46.00850296020508,366.54840087890625
2022-11-04,523.7444846118165,47.57653045654297,371.8241882324219
2022-11-07,518.5648748547363,47.71995162963867,375.38092041015625
2022-11-08,519.1257641864014,48.48484802246094,377.4062194824219
2022-11-09,508.8431021951294,47.916141510009766,369.6308898925781
2022-11-10,521.9102778295899,51.926021575927734,389.9436340332031
2022-11-11,523.0953969671631,53.391170501708984,393.71771240234375
2022-11-14,530.666013546753,51.38623046875,390.3684387207031
2022-11-15,535.1121534875488,51.20308303833008,393.6979064941406
2022-11-16,532.4059959869385,50.007835388183594,390.6944885253906
2022-11-17,536.5765514749145,48.928245544433594,389.4990234375
2022-11-18,535.1011337872314,48.85113525390625,391.26751708984375
2022-11-21,537.2280753662109,48.97644805908203,389.8448181152344
2022-11-22,543.8285491143799,49.41020584106445,395.09100341796875
2022-11-23,554.1549926953126,49.660823822021484,397.5806579589844
2022-11-24,557.1448158264161,49.660823822021484,397.5806579589844
2022-11-25,559.1473565368652,49.88252639770508,397.4917297363281
2022-11-28,549.0254709442138,48.41737365722656,391.14892578125
2022-11-29,573.2028650097656,49.18850326538086,390.4771423339844
2022-11-30,577.4536238891602,49.94999694824219,402.77740478515625
2022-12-01,572.9997771331788,50.11386489868164,402.48101806640625
2022-12-02,575.62531112854,50.364479064941406,402.0166931152344
2022-12-05,572.7049945288086,46.672691345214844,394.7846984863281
2022-12-06,568.6419029101563,45.438880920410156,389.09393310546875
2022-12-07,566.3197959777832,45.35213088989258,388.4320068359375
2022-12-08,569.4629347485351,45.67022705078125,391.4749755859375
2022-12-09,571.7382646691894,45.7762565612793,388.55059814453125
2022-12-12,572.2096392755127,46.653411865234375,394.15240478515625
2022-12-13,581.0451168859863,46.537742614746094,397.1361083984375
2022-12-14,581.1288084741211,45.82444763183594,394.5970153808594
2022-12-15,563.8602660644531,45.19790267944336,384.9444885253906
2022-12-16,561.4083749847412,44.407493591308594,380.3997802734375
2022-12-19,565.9592135101318,44.08940505981445,377.1741027832031
2022-12-20,575.685266217041,44.46533203125,377.69024658203125
2022-12-21,580.6118516235351,45.85336685180664,383.3376159667969
2022-12-22,579.5998916192627,46.537742614746094,377.8688659667969
2022-12-23,577.9654867126465,46.70161056518555,380.04248046875
2022-12-27,576.6944950195312,47.077537536621094,378.5437927246094
2022-12-28,584.9095167175293,46.23893356323242,373.8392639160156
2022-12-29,587.6950086456299,47.308876037597656,380.5685119628906
2022-12-30,586.1609125329591,47.385986328125,379.5660400390625
2023-01-03,596.0057929595948,46.71125030517578,377.9681396484375
2023-01-04,615.7210524612426,48.41737365722656,380.8861389160156
2023-01-05,632.5809531738282,47.569129943847656,376.5389099121094
2023-01-06,646.1283470947265,49.41020584106445,385.1737365722656
2023-01-09,644.8409054199218,49.17886734008789,384.95538330078125
