Date,TTWO,AAPL,HSBA.L,SPY
2022-09-09,127.77999877929688,156.44190979003906,571.773586472168,400.0670166015625
2022-09-12,129.5399932861328,162.46617126464844,588.3581025421142,404.3667907714844
2022-09-13,127.0199966430664,152.93275451660156,572.0646419726563,386.7839050292969
2022-09-14,128.16000366210938,154.39407348632812,562.8086666870116,388.2597961425781
2022-09-15,128.42999267578125,151.47142028808594,570.788670791626,383.85174560546875
2022-09-16,124.19000244140625,149.81126403808594,568.3762466320801,380.92340087890625
2022-09-19,125.08000183105469,153.5689697265625,569.0880422241211,383.8774719238281
2022-09-20,121.69000244140625,155.9746856689453,571.1726186834717,379.47113037109375
2022-09-21,117.91999816894531,152.81346130371094,556.14410440979,372.8516845703125
2022-09-22,114.73999786376953,151.83924865722656,544.7157953466797,369.7198181152344
2022-09-23,110.36000061035156,149.5428466796875,519.9566193365479,363.52520751953125
2022-09-26,109.56999969482422,149.880859375,501.093947543335,359.928955078125
2022-09-27,109.9000015258789,150.86502075195312,500.01962721313475,359.0101318359375
2022-09-28,114.19000244140625,148.95631408691406,494.44684095245367,366.07415771484375
2022-09-29,108.58000183105469,141.63973999023438,488.1041231430054,358.42724609375
2022-09-30,109.0,137.38497924804688,490.1525266113282,352.88470458984375
2022-10-03,113.36000061035156,141.60992431640625,490.7984585888672,362.2012634277344
2022-10-04,116.58999633789062,145.23838806152344,519.6200634997558,373.4246826171875
2022-10-05,117.30000305175781,145.53660583496094,502.6946923278809,372.55523681640625
2022-10-06,121.37999725341797,144.5723419189453,494.59174887542724,368.7120666503906
2022-10-07,120.7300033569336,139.2638397216797,486.8224685055542,358.42724609375
2022-10-10,117.93000030517578,139.59188842773438,480.848079362793,355.6905517578125
2022-10-11,115.08999633789062,138.16036987304688,468.76404134033197,353.4379577636719
2022-10-12,116.55000305175781,137.52413940429688,468.405939458313,352.27215576171875
2022-10-13,118.86000061035156,142.146728515625,489.04671896362305,361.5690002441406
2022-10-14,117.81999969482422,137.5639190673828,482.01300983276366,353.32928466796875
2022-10-17,117.88999938964844,141.57015991210938,503.1983415344239,362.4087829589844
2022-10-18,121.29000091552734,142.90225219726562,495.64012241363525,366.66693115234375
2022-10-19,122.5,143.0115966796875,499.70172074218755,364.0685729980469
2022-10-20,123.88999938964844,142.54437255859375,499.2976607910156,361.0157470703125
2022-10-21,125.55000305175781,146.4014892578125,507.30856769897457,369.7889404296875
2022-10-24,123.11000061035156,148.56861877441406,503.62546761932373,374.31390380859375
2022-10-25,125.02999877929688,151.44158935546875,477.169252208252,380.2911376953125
2022-10-26,123.62000274658203,148.46922302246094,484.95471312499996,377.4259948730469
2022-10-27,122.73999786376953,143.94606018066406,489.2987808380127,375.4105529785156
2022-10-28,124.0199966430664,154.82154846191406,482.52765728759766,384.3418273925781
2022-10-31,118.4800033569336,152.43569946289062,482.0767626269531,381.5655517578125
2022-11-01,116.30999755859375,149.76156616210938,494.9470455328369,379.8959045410156
2022-11-02,113.55000305175781,144.17469787597656,488.90210972351076,370.3619689941406
2022-11-03,111.30000305175781,138.06097412109375,485.69511547119146,366.54840087890625
2022-11-04,108.52999877929688,137.7921142578125,523.7444846118165,371.82415771484375
2022-11-07,108.4000015258789,138.32981872558594,518.5648748547363,375.3808898925781
2022-11-08,93.56999969482422,138.90736389160156,519.1257641864014,377.4062194824219
2022-11-09,94.08999633789062,134.29702758789062,508.8431021951294,369.630859375
2022-11-10,98.56999969482422,146.2460479736328,521.9102778295899,389.9436340332031
2022-11-11,102.25,149.06402587890625,523.0953969671631,393.71771240234375
2022-11-14,99.87999725341797,147.65005493164062,530.666013546753,390.36846923828125
2022-11-15,101.02999877929688,149.40257263183594,535.1121534875488,393.6979064941406
2022-11-16,100.80999755859375,148.1578826904297,532.4059959869385,390.69451904296875
2022-11-17,99.66000366210938,150.07969665527344,536.5765514749145,389.4990539550781
2022-11-18,98.7699966430664,150.64727783203125,535.1011337872314,391.2675476074219
2022-11-21,97.43000030517578,147.38119506835938,537.2280753662109,389.8448181152344
2022-11-22,100.29000091552734,149.54196166992188,543.8285491143799,395.0909423828125
2022-11-23,103.1500015258789,150.42822265625,554.1549926953126,397.5806884765625
2022-11-24,103.1500015258789,150.42822265625,557.1448158264161,397.5806884765625
2022-11-25,102.62999725341797,147.48077392578125,559.1473565368652,397.49176025390625
2022-11-28,101.26000213623047,143.6072998046875,549.0254709442138,391.14892578125
2022-11-29,101.3499984741211,140.5702667236328,573.2028650097656,390.4771728515625
2022-11-30,105.69000244140625,147.40110778808594,577.4536238891602,402.7774353027344
2022-12-01,106.4000015258789,147.679931640625,572.9997771331788,402.48101806640625
2022-12-02,108.76000213623047,147.1820526123047,575.62531112854,402.01666259765625
2022-12-05,106.9800033569336,146.007080078125,572.7049945288086,394.7846984863281
2022-12-06,101.2699966430664,142.30287170410156,568.6419029101563,389.0939636230469
2022-12-07,99.48999786376953,140.34124755859375,566.3197959777832,388.4320373535156
2022-12-08,100.79000091552734,142.04397583007812,569.4629347485351,391.4749755859375
2022-12-09,102.05999755859375,141.55606079101562,571.7382646691894,388.5505676269531
2022-12-12,102.61000061035156,143.8761749267578,572.2096392755127,394.15240478515625
2022-12-13,104.55000305175781,144.85198974609375,581.0451168859863,397.1360778808594
2022-12-14,104.80999755859375,142.6016082763672,581.1288084741211,394.59698486328125
2022-12-15,101.66000366210938,135.92010498046875,563.8602660644531,384.9444885253906
2022-12-16,100.76000213623047,133.9385528564453,561.4083749847412,380.3997497558594
2022-12-19,98.58999633789062,131.80764770507812,565.9592135101318,377.1741027832031
