Date,HSBA.L,ZION,fund_history,benchamrk_history
2022-09-07,,,100.0,100.0
2022-09-08,0.001649925528571742,0.03389281715937883,103.55427426879507,100.65362835550029
2022-09-09,0.006556624366930365,0.007036906207625172,104.93856332903349,102.21731341654305
2022-09-12,0.028941664035701087,-0.0008521572879977788,107.76784047986263,103.31590776626167
2022-09-13,-0.02763231654050216,-0.02251629084249068,102.55870969396008,98.82347207900179
2022-09-14,-0.016144181086785423,0.011517461106751616,102.10133086409039,99.20056296186557
2022-09-15,0.014147585282116378,0.01742455164261976,105.29761550240804,98.07430394872524
2022-09-16,-0.004217241090502864,-0.021534762528327606,102.61954828810926,97.32611047541818
2022-09-19,0.0012495775233178554,0.01178422394700093,103.95144092059559,98.08087703532742
2022-09-20,0.0036550791860088445,-0.011646963355791464,103.11157369751325,96.95505466850942
2022-09-21,-0.026253759623649973,-0.010397864994893912,99.40266130461472,95.2637831115339
2022-09-22,-0.020503992993836893,-0.023640943357435183,94.99632543606378,94.4635819423354
2022-09-23,-0.04535348076329296,-0.022061102310169743,88.45739751608545,92.88086377999262
2022-09-26,-0.03619755005026654,-0.01815722062136475,83.38181801976265,91.96201956721332
2022-09-27,-0.002139299571600674,-0.014383341600102018,81.82643525937252,91.72726758817234
2022-09-28,-0.01112062419678664,0.009665623430055942,81.75090419300633,93.53212176974314
2022-09-29,-0.012799694781014908,-0.027968622211035556,77.99093212031008,91.5783322059801
2022-09-30,0.00418742321609847,-0.01776617373874019,76.71880924203177,90.16221021011654
2022-10-03,0.001314920117703014,0.026541445087012373,79.22801868649628,92.54259543353717
2022-10-04,0.05859469166127917,0.04424127387737749,88.39817538199728,95.41018438560549
2022-10-05,-0.03250088980211037,-0.018340522672080996,83.64572353763154,95.18804836637746
2022-10-06,-0.016083565744932506,-0.020738397240642175,80.2503474022042,94.2061087600219
2022-10-07,-0.015673924755085004,-0.03892098958485277,75.26340303720943,91.5783322059801
2022-10-10,-0.01224522369405462,-0.008337656401970142,73.46694301363786,90.87910549881968
2022-10-11,-0.025075409132452417,-0.015414377916459707,69.97442552254614,90.30356665971412
2022-10-12,-0.0007621756440938491,-0.015045616821968385,68.59830399258672,90.0057036925854
2022-10-13,0.04396902014858198,0.043968614699646726,76.00964273371252,92.38105188878775
2022-10-14,-0.014350858605162222,-0.008502381098596792,74.0090565819286,90.27580063196758
2022-10-17,0.043855051716638505,0.034700294142102135,80.8241632016121,92.59561677267686
2022-10-18,-0.014987256681946105,0.0019273734246938183,79.67177200464377,93.68357566554451
2022-10-19,0.008176630008485602,-0.053093368129720826,75.48880524979629,93.0196939187253
2022-10-20,-0.0008067555157987168,-0.042459347229975936,71.70902377054031,92.23969543919017
2022-10-21,0.016008927091135033,0.01463923925375181,74.34290273229132,94.48125052387812
2022-10-24,-0.0072441123403529685,0.04098411385867618,77.17288546437427,95.6373730265633
2022-10-25,-0.05241593405637685,0.03475024184191452,75.58786294224942,97.164559133413
2022-10-26,0.01627997485510563,-0.021547566288371216,74.9880040113431,96.43251377677626
2022-10-27,0.008938123233357489,-0.0003968891700458329,75.7168437833698,95.91757520940504
2022-10-28,-0.013807987805624844,0.023023406815177387,76.5839043985589,98.19951228165247
2022-10-31,-0.00093246127583844,0.007760351830483804,77.21435798514702,97.49018812828825
2022-11-01,0.0266387930062533,-0.006352969845948598,78.89326079485738,97.06359246863066
2022-11-02,-0.012186298271896434,-0.041074326166931935,74.0677575487064,94.62765959520547
2022-11-03,-0.0065452974351852145,-0.027680361162440454,71.07242672654749,93.65329112418884
2022-11-04,0.07816788659509025,0.0340789844668946,80.67727923611625,95.00125730749063
2022-11-07,-0.009867889763187638,0.00301431267038316,80.03211615688696,95.90999627681038
2022-11-08,0.0010791719424950049,0.01602767083016733,81.55039053657396,96.42746895230225
2022-11-09,-0.019764089545609258,-0.011728859558078992,78.68569419766791,94.44086073906288
2022-11-10,0.025623689364815273,0.08367917891368395,88.42687861005302,99.63078434544961
2022-11-11,0.002265739009032093,0.02821406843026178,91.35461688896362,100.59506316751819
2022-11-14,0.014440898903259499,-0.03754904970758223,88.96562352450272,99.73932214557087
2022-11-15,0.008359988534046816,-0.0035639443497784517,89.40799244582664,100.5900105457884
2022-11-16,-0.005046056855192293,-0.023341620526067024,86.7135497525284,99.82262802606623
2022-11-17,0.007816253058692255,-0.021586663869821672,85.44372417114616,99.51718612634284
2022-11-18,-0.002743640000264593,-0.0015759483424841,85.0410105765751,99.96903709739358
2022-11-21,0.003966098723413922,0.002564929317307705,85.64780412672499,99.60553683131222
2022-11-22,0.012259146576887541,0.00885587909016464,87.61416834090048,100.9459318792751
2022-11-23,0.01894665748632144,0.005071814895876158,89.89620395543787,101.58205539560352
